ID,NOx,SO2,PM10,PM2.5,NMVOC,NH3
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
96,0,0,0,0,0,0
97,0,0,0,0,0.0112116213736381,0
98,0,0,0,0,0.00560556034792177,0
99,0,0,0,0,0,0
100,0,0,0,0,0,0
102,0,0,0,0,0,0
103,0,0,0,0,0,0
104,0,0,0,0,0,0
186,0,0,0,0,0.0237383396731199,0
187,0,0,0,0,0.0457054662130455,0
188,0,0,0,0,0.00593391323851978,0
189,0,0,0,0,0,0
190,0,0,0,0,0,0
191,0,0,0,0,0,0
192,0,0,0,0,0,0
193,0,0,0,0,0,0
194,0,0,0,0,0,0
275,0,0,0,0,0,0
276,0,0,0,0,0,0
277,0,0,0,0,0,0
278,0,0,0,0,0.0134826596828558,0
279,0,0,0,0,0,0
280,0,0,0,0,0.0081017865498362,0
281,0,0,0,0,0.0689739185091007,0
282,0,0,0,0,0,0
283,0,0,0,0,0,0
284,0,0,0,0,0,0
285,0,0,0,0,0,0
286,0,0,0,0,0,0
287,0,0,0,0,0,0
365,0,0,0,0,0,0
366,0,0,0,0,0,0
367,0,0,0,0,0,0
368,0,0,0,0,0.0177640090322533,0
369,0,0,0,0,0,0
370,0,0,0,0,0.0686622222438954,0
371,0,0,0,0,0.0609931396044898,0
372,0,0,0,0,0,0
373,0,0,0,0,0,0
374,0,0,0,0,0,0
375,0,0,0,0,0,0
376,0,0,0,0,0,0
377,0,0,0,0,0,0
386,0,0,0,0,0,0
387,0,0,0,0,0,0
454,0,0,0,0,0,0
455,0,0,0,0,0,0
456,0,0,0,0,0,0
457,0,0,0,0,0,0
458,0,0,0,0,0.00395259016754325,0
459,0,0,0,0,0.0627338812948493,0
460,0,0,0,0,0.0474209510568427,0
461,0,0,0,0,0.0177853839063343,0
462,0,0,0,0,0.0948218370304505,0
463,0,0,0,0,0.0716513441016658,0
464,0,0,0,0,0.0478951432843741,0
465,0,0,0,0,0,0
466,0,0,0,0,0,0
467,0,0,0,0,0,0
468,0,0,0,0,0,0
469,0,0,0,0,0,0
472,0,0,0,0,0,0
473,0,0,0,0,0,0
474,0,0,0,0,0,0
475,0,0,0,0,0,0
476,0,0,0,0,0.0365320325738778,0
477,0,0,0,0,0.0436070048446736,0
544,0,0,0,0,0,0
545,0,0,0,0,0,0
