ID,NOx,SO2,PM10,PM2.5,NMVOC,NH3
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
96,0,0,0,0,0,0
97,0,0,0.453488058198897,0.0604646530553704,0.00241867039644466,0
98,0,0,0.226733903383781,0.0302309764416714,0.00120928119290006,0
99,0,0,0,0,0,0
100,0,0,0,0,0,0
102,0,0,0,0,0,0
103,0,0,0,0,0,0
104,0,0,0,0,0,0
186,0,0,0.48566698079392,0.0647551461680916,0.00259029610094321,0
187,0,0,1.18621609408818,0.158161043672467,0.00632666218808992,0
188,0,0,0.240015128979006,0.0320017941804115,0.00128011637057432,0
189,0,0,0,0,0,0
190,0,0,0,0,0,0
191,0,0,0,0,0,0
192,0,0,0,0,0,0
193,0,0,0,0,0,0
194,0,0,0,0,0,0
275,0,0,0,0,0,0
276,0,0,0,0,0,0
277,0,0,0,0,0,0
278,0,0,0.545347087611073,0.0727124382902668,0.00290859887651926,0
279,0,0,0,0,0,0
280,0,0,0.0811224016415113,0.0108162448417133,0.00043266486909951,0
281,0,0,0.690629145275056,0.0920832443192323,0.00368345811625766,0
282,0,0,0,0,0,0
283,0,0,0,0,0,0
284,0,0,0,0,0,0
285,0,0,0,0,0,0
286,0,0,0,0,0,0
287,0,0,0,0,0,0
365,0,0,0,0,0,0
366,0,0,0,0,0,0
367,0,0,0,0,0,0
368,0,0,0.718519254948834,0.0958018996941916,0.00383220951423157,0
369,0,0,0,0,0,0
370,0,0,0.687508160851229,0.0916671159626722,0.00366681240200522,0
371,0,0,0.610718381427636,0.0814285500575705,0.00325725549552566,0
372,0,0,0,0,0,0
373,0,0,0,0,0,0
374,0,0,0,0,0,0
375,0,0,0,0,0,0
376,0,0,0,0,0,0
377,0,0,0,0,0,0
386,0,0,0,0,0,0
387,0,0,0,0,0,0
454,0,0,0,0,0,0
455,0,0,0,0,0,0
456,0,0,0,0,0,0
457,0,0,0,0,0,0
458,0,0,0.159874504517975,0.0213164520505165,0.000852687792396701,0
459,0,0,1.05547115219654,0.140728506238912,0.0056293363936817,0
460,0,0,0.474821376027546,0.063309075610073,0.00253245126312289,0
461,0,0,0.178083321218901,0.0237442773580738,0.000949804188545548,0
462,0,0,0.949441842326044,0.126591363442954,0.00506383097782191,0
463,0,0,0.717437947624352,0.0956577263889878,0.00382644238107802,0
